from,to,adj_p_value,log2fc,factor,factor_1,factor_2
GLDS-99,20498,0.021976236,0.279555083,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,26931,0.031014985,0.116384051,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19159,0.016902519,0.269149524,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,109754,0.0269293,0.226596456,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20822,0.0086098,0.27171319,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66313,0.030574752,0.169649298,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,110809,0.003503463,0.301041907,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,217038,0.018338247,0.456490228,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17762,0.000867499,0.229572728,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,77864,0.001029055,0.654289016,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11640,0.000371779,0.288730197,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66884,1.61e-05,0.222059625,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,27041,0.044033455,0.135190282,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11927,0.017528559,0.175848911,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20692,5.98e-05,0.787118726,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68066,0.027266695,0.196162522,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,228033,8.54e-08,0.342188734,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17189,0.017052023,0.295549968,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20305,6.5e-17,1.080170715,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18822,0.000114074,0.30399101,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20308,0.032649588,0.602078424,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68385,0.007762156,0.67837718,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,102857,0.010856931,0.174514266,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,270066,0.043908226,0.136797641,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66084,0.019295874,0.286416454,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,23924,0.008849374,0.18243269,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,237253,0.016245894,0.525434601,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14816,0.024326656,0.672369217,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,76563,1.45e-07,0.463479686,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,15500,0.017851815,0.267329567,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18451,0.031916646,0.250519116,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,110829,0.000423595,0.264786671,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12534,0.000227549,3.372880226,spaceflight_v_ground_control,spaceflight,ground_control
