from,to,adj_p_value,log2fc,factor,factor_1,factor_2
GLDS-99,59091,0.00574997,-0.24041923,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,59045,0.007752077,-0.392689401,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16706,2.36e-08,-0.471216177,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14778,1.86e-22,-0.904126755,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22344,0.00869576,-0.120705557,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,70393|103841,0.000108658,-0.356699335,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66771,0.003889764,-0.216231242,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,108083,0.007152311,-0.212227539,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,53422,0.000634661,-0.745291742,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,80280,0.008640525,-0.23883489,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,83431,6.97e-06,-0.247760303,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,217012,0.007319004,-0.221784558,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,211652,0.010238714,-1.026912155,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,69572,0.001198517,-0.327031199,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,69537,0.011399858,-0.222699783,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20266,0.00965155,-0.16343622,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12315,0.016076044,-0.185209312,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,53817,1.56e-05,-0.240780014,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22187,0.000688036,-0.201558034,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,27273,0.037699255,-1.421409928,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,74412,0.007343608,-0.189562737,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,73316,0.003108573,-0.31113767,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,57319,0.023771588,-0.174959899,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,216080,0.008340379,-0.285472637,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,69563,0.000289958,-0.507670475,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17761,0.004031418,-0.451277463,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,216198,0.048203842,-0.234724983,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66687,0.009415711,-0.239148014,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12808,0.000924384,-0.242837524,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18045,0.000719605,-0.263251984,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,216190,0.031539492,-0.152021163,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17168,0.0021513219999999,-0.239863883,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67579,0.040190867,-0.261024936,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,65257,0.003228446,-0.293976824,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,72947,0.013470116,-0.303506023,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66397,0.000982646,-0.279894055,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,57783,3e-06,-0.337117477,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,193116,0.001347307,-0.205595188,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,56218,0.000146906,-0.311918245,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,56012,0.000339433,-0.185400063,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20922,0.000169454,-0.288917853,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,50724,0.001100586,-0.238814903,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67726,0.017591195,-0.143588236,spaceflight_v_ground_control,spaceflight,ground_control
