identifier,name
21427,Vps72
14390,Gabpa
12162,Bmp7
56455,Dynll1
67466,Pdcl
223693,Tmem184b
18016,Nf2
192650,Cabp7
67178,Zmat5
14030,Ewsr1
11764,Ap1b1
70377,Derl3
21380,Tbx1
14686,Gnat2
94044,Bcl2l13
76964,2610028H24Rik
93838,Dqx1
20307,Ccl8
69605,Lnpk
75573,Prr29
66139,Mymk
109349,Fam163b
56843,Trpm5
71660,Rarres2
108705,Pttg1ip
28240,Trpm2
22213,Ube2g2
17523,Mpo
17295,Met
240638,Slc16a12
20965,Syn2
13712,Elk1
215690,Nav1
238799,Tnpo1
17927,Myod1
18419,Otog
67897,Rnmt
16535,Kcnq1
20813,Srp14
107951,Cdk9
30933,Tor2a
14287,Fpgs
239719,Mrtfb
12419,Cbx5
80287,Apobec3
192166,Sardh
22325,Vav2
104271,Tex15
19053,Ppp2cb
14373,G0s2
66233,Dmap1
69836,Pla2g12b
215999,Mcu
18302,Oit3
110279,Bcr
18301,Fxyd5
16506,Kcnd1
21422,Tfcp2
19009,Pou6f1
22221,Ubp1
74137,Nuak2
56542,Cilk1
67680,Sdhb
84682,Cox4i2
67826,Snap47
70750,Kdsr
20479,Vps4b
75617,Rps25
83454,Nxf2
66826,Tafazzin
286942,Kif19a
11671,Aldh3a2
114602,Zmynd10
56395,Tmem115
15587,Hyal2
15983,Ifrd2
15586,Hyal1
80385,Tusc2
56032,Nprl2
76257,Slc38a3
56808,Cacna2d2
56289,Rassf1
71889,Epn3
22671,Rnf112
17254,Slc3a2
53319,Nxf1
56389,Stx5a
67473,Slc47a1
100503311,Pifo
57916,Tnfrsf13b
234857,Spire2
19130,Prox1
71766,Raver1
72503,2610507B11Rik
98404,AI597479
67893,Tmem86a
83560,Tex14
70110,Ifi35
66599,Rdm1
18002,Nedd8
53334,Gosr1
68836,Mrpl52
226976,Kansl3
14051,Eya4
13593,Ebf3
100271841,Uckl1os
14084,Faf1
212539,Gm266
76927,Tsacc
67493,Mettl16
13164,Dazl
66268,Pigyl
67039,Rbm25
19165,Psen2
235674,Acaa1b
18799,Plcd1
76267,Fads1
56873,Lmbr1
79202,Tnfrsf22
27267,Cars
22413,Wnt2
14394,Gabra1
105785,Kdelr3
56369,Apip
27402,Pdhx
234729,Vac14
68279,Mcoln2
67605,Akt1s1
21376,Tbrg1
11565,Adssl1
72308,Brf1
22355,Vipr2
18263,Odc1
66628,Thg1l
11492,Adam19
230721,Pabpc4
74463,Exoc3l2
63872,Zfp296
66968,Plin5
70616,Sugp1
71755,Dhdh
233056,Zfp790
76703,Cpb1
70300,Fuz
80297,Sptbn4
18648,Pgam1
14020,Evi5
213027,Evi5l
102209,Snapc2
216963,Git1
56356,Gltp
12175,Bnip2
12455,Ccnt1
224024,Scarf2
52592,Brms1l
94112,Med15
67422,Dhdds
67586,Ubxn11
68393,Mogat1
75671,Tex22
74094,Tjap1
13661,Ehf
66480,Rpl15
66074,Tmem167
117167,Steap4
66308,Mplkip
16551,Kif11
68240,Rpa3
74568,Mlkl
18935,Phox2b
320938,Tnpo3
320244,Ttll5
69930,Zfp715
57264,Retn
22295,Cdh23
20103,Rps5
244550,Podnl1
330814,Adgrl1
75723,Amotl1
104156,Etv5
70575,Gfod2
102124,Enkd1
71046,4933405L10Rik
11972,Atp6v0d1
19280,Ptprs
98396,Slc41a1
210094,Iglon5
270210,Zfp651
58202,Nelfb
170720,Card14
72392,Tmem175
76960,Bcas1
27883,Tango2
19378,Aldh1a2
226646,Ndufs2
381629,Atraid
69719,Cad
79566,Sh3bp5l
67979,Atad1
19211,Pten
18611,Pea15a
53600,Timm23
69769,Tnfaip8l2
70047,Trnt1
110147,Ehmt2
66126,Elof1
216154,Med16
20442,St3gal1
216157,Tmem259
77733,Rnf170
76686,Clip3
108167416,1700020L13Rik
17906,Myl2
21945,Dedd
27045,Nit1
18507,Pax5
114604,Prdm15
70238,Rnf168
66061,Dynlt2b
56398,Chp1
63873,Trpv4
100503085,Klhl3
67510,Tvp23b
56354,Dnajc7
